restaurant_id,Title,Reviews,Rating,Price,Revenue,Cuisine,Cuisine_countries,Cuisine_countries_0,Cuisine_countries_1,Cuisine_countries_2,Cuisine_countries_3,Cuisine_auxes,lat,lng,restaurants_count,Population,Pricexm2
56,Sushi Li,361,4.5,11.5,361,"Japanese, Seafood, Sushi, Asian",1E+073,1E+019,10000000000,0,0,100010,45.46164,9.18771,204,16765,4950
57,Zibo Cuochi Itineranti,314,4.5,,314,"Italian, Mediterranean, European, Street Food",1.00000000001E+051,0,1.00000000001E+022,0,0,100,45.46024,9.17655,204,16765,4950
58,Je suis Jambon,387,4.5,14.5,387,"Italian, Bar, Pub, Brew Pub",1E+040,0,100000000000,0,0,1.001E+021,45.51546,9.21115,30,8583,1950
59,D.O.T. - CHIANTI Street Food,149,4.5,12,149,"Italian, Mediterranean, Tuscan, Central-Italian, Street Food",1E+060,1000000,100000000100,1,10000,100,45.45486,9.19842,55,15364,5050
60,Fei Yun Ge,321,4.5,27,321,"Chinese, Seafood, Sushi, Asian, Japanese",1.00000000000001E+073,1.00000000000001E+019,10000000000,0,0,100010,45.49519,9.20715,12,25985,2050
61,Poku Poke Place,247,4.5,,247,"Hawaiian, Seafood",1E+044,0,1000000000000000,0,0,100000,45.47765,9.17021,91,30985,3850
62,N'ata - Espressioni di pizza,240,4.5,42.5,240,"Italian, Pizza, Mediterranean, Healthy, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,1010000000,45.4786,9.18827,114,18492,6250
63,Gastronomia Yamamoto,301,4.5,30,301,"Japanese, Deli, Asian",1E+073,1E+019,10000000000,0,0,1000000000000000,45.46002,9.18653,204,16765,4950
65,Il Capestrano Ristorante Abruzzese,,4.5,68.5,282.428571428571,"Steakhouse, Barbecue, Italian, Mediterranean",1.000000001E+040,0,100000000100,0,0,1E+020,45.43689,9.20196,5,12426,3100
66,Ristorante Pizzeria One Way della Speranza,,4.5,30,169.613636363636,"Italian, Pizza, Seafood, Mediterranean",1.000000001E+040,0,100000000100,0,0,10100000,45.47697,9.2042,193,62347,4750
67,L'Amùri Sicilian Restaurant,120,4.5,,120,"Italian, Seafood, Mediterranean, Sicilian, Southern-Italian",1.000000001E+040,0,100000000100,100100000000,0,100000,45.45598,9.21599,89,31720,4100
68,De Santis,848,4.5,,848,Italian,1E+040,0,100000000000,0,0,0,45.4656,9.17969,204,16765,4950
69,La Tienda de Juan,122,4.5,15,122,"Spanish, Catalan, Mediterranean",1E+065,100000000000,100,1000000,0,0,45.47576,9.20455,193,62347,4750
70,Il Secco,144,4.5,12,144,"Italian, Wine Bar",1E+040,0,100000000000,0,0,1,45.45039,9.1696,74,17030,4000
71,La Scalea,365,4.5,,365,"Italian, Pizza",1E+040,0,100000000000,0,0,10000000,45.50487,9.22304,26,29523,1950
72,Seoul Ristorante Coreano,287,4.5,21,287,"Asian, Korean",1E+073,1E+019,100000000,0,0,0,45.45478,9.17174,74,17030,4000
74,PaninoLAB - Tortona District,631,4.5,12.5,631,"Italian, Mediterranean, European, Soups, Bar",1.00000000001E+051,0,1.00000000001E+022,0,0,1E+021,45.45575,9.16645,56,15228,4550
75,Pizzeria da Pino,735,4.5,,735,"Italian, Pizza",1E+040,0,100000000000,0,0,10000000,45.50922,9.20269,17,16032,2150
76,Ramen Shop,262,4.5,,262,"Japanese, Asian, Soups",1E+073,1E+019,10000000000,0,0,10000,45.47737,9.20601,193,62347,4750
77,Portobello,910,4.5,21,910,"Italian, Pizza, Seafood",1E+040,0,100000000000,0,0,10100000,45.47772,9.21557,193,62347,4750
78,Mi-Ramen Bistro Col di lana,428,4.5,15,428,"Japanese, Asian, Fusion, Healthy, Soups",1E+073,1E+019,1.00000001E+018,0,0,1000010000,45.45202,9.18532,81,20008,4000
79,Pizza Shambo,126,5,12.5,126,"Pizza, Italian",1E+040,0,100000000000,0,0,10000000,45.49266,9.20653,90,18831,3200
81,La Coccinella,425,4.5,,425,"Italian, Pizza",1E+040,0,100000000000,0,0,10000000,45.4878,9.18944,88,22859,3200
